atm_inventario_año;atm_inventario_grupo_cont;atm_inventario_sector;atm_inventario_sector_descripcion;atm_inventario_cont_desc;atm_inventario_cont_unidades;atm_inventario_cont_cantidad
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;HFC;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);HFC;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;PFC;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;PFC;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;PFC;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;PFC;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;PFC;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;PFC;kt CO2eq;1.92
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;PFC;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;PFC;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;PFC;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;PFC;kt CO2eq;0.00
2022;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);PFC;kt CO2eq;0.00
2022;Metales pesados;1,0;Combustión en la producción y transformación de energía;As;kg;0.11
2022;Metales pesados;2,0;Plantas de combustión no industrial;As;kg;23.10
2022;Metales pesados;3,0;Plantas de combustión industrial;As;kg;6.44
2022;Metales pesados;4,0;Procesos industriales sin combustión;As;kg;1.81
2022;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;As;kg;0.00
2022;Metales pesados;6,0;Uso de disolventes y otros productos;As;kg;0.00
2022;Metales pesados;7,0;Transporte por carretera;As;kg;12.47
2022;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;As;kg;0.21
2022;Metales pesados;9,0;Tratamiento y eliminación de residuos;As;kg;7.61
2022;Metales pesados;10,0;Agricultura;As;kg;0.00
2022;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);As;kg;0.00
2022;Metales pesados;1,0;Combustión en la producción y transformación de energía;Cd;kg;1.46
2022;Metales pesados;2,0;Plantas de combustión no industrial;Cd;kg;25.38
2022;Metales pesados;3,0;Plantas de combustión industrial;Cd;kg;62.67
2022;Metales pesados;4,0;Procesos industriales sin combustión;Cd;kg;26.87
2022;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Cd;kg;0.00
2022;Metales pesados;6,0;Uso de disolventes y otros productos;Cd;kg;48.75
2022;Metales pesados;7,0;Transporte por carretera;Cd;kg;37.56
2022;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Cd;kg;0.65
2022;Metales pesados;9,0;Tratamiento y eliminación de residuos;Cd;kg;17.09
2022;Metales pesados;10,0;Agricultura;Cd;kg;0.00
2022;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Cd;kg;0.00
